epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,66.5611,0.99361,3.0149,1.37049,0.70591,0.17411,0.21295,0.09884,1.6919,2.85436,2.07282,0.00240422,0.000801406,0.00240422,0.000801406,0.00240422,0.000801406,0.00240422,0.000801406
31,68.8422,0.94107,2.94878,1.30751,0.68123,0.15721,0.1591,0.09234,1.73174,2.83126,2.09436,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938
32,70.563,0.95363,2.95982,1.32189,0.65947,0.13839,0.16003,0.09466,1.69087,2.76012,2.08069,0.00231141,0.000770469,0.00231141,0.000770469,0.00231141,0.000770469,0.00231141,0.000770469
33,72.3273,0.97035,2.94057,1.32725,0.63809,0.13839,0.16502,0.09067,1.73078,2.74915,2.12183,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
34,74.0824,0.98349,2.90486,1.36666,0.65099,0.16472,0.16141,0.08871,1.74193,2.70492,2.12675,0.00221859,0.000739531,0.00221859,0.000739531,0.00221859,0.000739531,0.00221859,0.000739531
35,76.021,0.90631,2.82742,1.29859,0.63855,0.17628,0.18734,0.08476,1.73087,2.66859,2.09545,0.00217219,0.000724062,0.00217219,0.000724062,0.00217219,0.000724062,0.00217219,0.000724062
36,77.7659,0.85607,2.77076,1.25027,0.6628,0.2051,0.21212,0.09138,1.71428,2.66175,2.12041,0.00212578,0.000708594,0.00212578,0.000708594,0.00212578,0.000708594,0.00212578,0.000708594
37,80.5581,0.95199,2.81146,1.29165,0.69316,0.22158,0.23293,0.10141,1.7613,2.66232,2.17735,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
38,83.1012,0.92628,2.78146,1.31447,0.72454,0.25005,0.27132,0.10674,1.78808,2.62128,2.25021,0.00203297,0.000677656,0.00203297,0.000677656,0.00203297,0.000677656,0.00203297,0.000677656
39,84.8116,0.86016,2.68561,1.26537,0.82399,0.20982,0.27345,0.106,1.79481,2.6167,2.25641,0.00198656,0.000662188,0.00198656,0.000662188,0.00198656,0.000662188,0.00198656,0.000662188
40,86.5674,0.90387,2.7137,1.29068,0.81412,0.20982,0.27766,0.10359,1.80501,2.59339,2.31286,0.00194016,0.000646719,0.00194016,0.000646719,0.00194016,0.000646719,0.00194016,0.000646719
41,88.3491,0.91407,2.6478,1.3063,0.83578,0.20611,0.28113,0.10522,1.79347,2.59679,2.33172,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
42,90.0881,0.92639,2.7197,1.29588,0.74714,0.25511,0.2827,0.10499,1.80194,2.57795,2.31636,0.00184734,0.000615781,0.00184734,0.000615781,0.00184734,0.000615781,0.00184734,0.000615781
43,91.9447,0.92275,2.64517,1.29826,0.75429,0.2721,0.29213,0.1158,1.87738,2.54547,2.33177,0.00180094,0.000600313,0.00180094,0.000600313,0.00180094,0.000600313,0.00180094,0.000600313
44,94.4911,0.91379,2.55083,1.31586,0.81409,0.2688,0.3135,0.12767,1.92237,2.49569,2.34079,0.00175453,0.000584844,0.00175453,0.000584844,0.00175453,0.000584844,0.00175453,0.000584844
45,97.2491,0.88606,2.60959,1.27463,0.82033,0.27232,0.32254,0.14122,1.94217,2.4677,2.37928,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
46,99.0911,0.87359,2.53721,1.27166,0.82493,0.27232,0.29849,0.11871,1.9472,2.49526,2.38849,0.00166172,0.000553906,0.00166172,0.000553906,0.00166172,0.000553906,0.00166172,0.000553906
47,100.892,0.84843,2.45503,1.22651,0.80706,0.24107,0.30491,0.12717,1.9323,2.48303,2.35501,0.00161531,0.000538438,0.00161531,0.000538438,0.00161531,0.000538438,0.00161531,0.000538438
48,102.644,0.84367,2.46663,1.27039,0.81872,0.27232,0.29971,0.12493,1.95339,2.47161,2.35502,0.00156891,0.000522969,0.00156891,0.000522969,0.00156891,0.000522969,0.00156891,0.000522969
49,104.334,0.78679,2.41007,1.21977,0.81045,0.25148,0.26378,0.12836,1.90321,2.49544,2.29503,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
50,106.183,0.90195,2.45028,1.27395,0.77468,0.23661,0.27381,0.1379,1.84117,2.5117,2.23608,0.00147609,0.000492031,0.00147609,0.000492031,0.00147609,0.000492031,0.00147609,0.000492031
51,109.009,0.88615,2.46249,1.25423,0.78403,0.23969,0.27025,0.13282,1.80149,2.52624,2.17109,0.00142969,0.000476562,0.00142969,0.000476562,0.00142969,0.000476562,0.00142969,0.000476562
52,111.974,0.81223,2.33478,1.21631,0.76716,0.2413,0.25896,0.12923,1.81312,2.59932,2.16193,0.00138328,0.000461094,0.00138328,0.000461094,0.00138328,0.000461094,0.00138328,0.000461094
53,113.679,0.84475,2.41298,1.25694,0.82473,0.23661,0.2619,0.12982,1.7964,2.60584,2.13969,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
54,115.511,0.81809,2.2708,1.24666,0.81768,0.23661,0.26101,0.13284,1.79081,2.59424,2.13944,0.00129047,0.000430156,0.00129047,0.000430156,0.00129047,0.000430156,0.00129047,0.000430156
55,117.212,0.85166,2.2632,1.26627,0.81897,0.23531,0.2647,0.12885,1.77999,2.58675,2.12495,0.00124406,0.000414688,0.00124406,0.000414688,0.00124406,0.000414688,0.00124406,0.000414688
56,119.018,0.81294,2.3867,1.22502,0.773,0.24053,0.26617,0.12542,1.76571,2.56941,2.12623,0.00119766,0.000399219,0.00119766,0.000399219,0.00119766,0.000399219,0.00119766,0.000399219
57,120.81,0.91512,2.43251,1.27407,0.77405,0.2484,0.26713,0.1261,1.77169,2.55552,2.13893,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
