epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1681.81,1.09428,1.51126,1.28427,0.75823,0.65594,0.7034,0.47182,1.19104,1.36037,1.5039,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,1737.31,1.09803,1.50149,1.29325,0.75148,0.69629,0.7335,0.50256,1.16419,1.26163,1.48409,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,1794.55,1.07791,1.48228,1.27452,0.81166,0.65068,0.73432,0.49676,1.16,1.26304,1.45648,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,1849.8,1.07006,1.46286,1.26918,0.80278,0.67302,0.73484,0.49724,1.16949,1.2725,1.47449,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,1905.07,1.05935,1.42845,1.25869,0.7942,0.68681,0.74357,0.51105,1.14393,1.24296,1.45269,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,1961.23,1.07509,1.45827,1.26133,0.82936,0.64921,0.74287,0.50969,1.15193,1.24271,1.45551,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,2017.86,1.04643,1.41986,1.25157,0.79764,0.67724,0.74162,0.51542,1.13106,1.23063,1.43563,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,2074.84,1.03727,1.39895,1.23528,0.78462,0.67708,0.74197,0.51243,1.1406,1.2303,1.44935,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,2130.88,1.03696,1.39569,1.24026,0.85484,0.67599,0.75784,0.52759,1.11929,1.18292,1.43646,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
39,2188.25,1.02537,1.35804,1.2303,0.78491,0.70922,0.75641,0.53047,1.11799,1.19385,1.43305,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
40,2245.1,1.01711,1.3376,1.23321,0.83224,0.6915,0.7573,0.53026,1.11022,1.18619,1.41568,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
41,2299.68,1.01675,1.49013,1.29559,0.81067,0.70447,0.76125,0.52299,1.14169,1.21073,1.44433,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
42,2352.23,0.96069,1.3724,1.26256,0.8177,0.71757,0.77042,0.54287,1.10348,1.18291,1.42111,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
43,2404.71,0.94021,1.32946,1.24167,0.81148,0.73367,0.78346,0.55459,1.09972,1.17258,1.42364,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
44,2456.34,0.92176,1.30978,1.22553,0.81887,0.72119,0.78236,0.55981,1.08542,1.14718,1.40566,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
45,2508.58,0.91406,1.27651,1.21456,0.82451,0.71702,0.77813,0.55316,1.07871,1.15241,1.40143,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
46,2559.7,0.89824,1.28061,1.2093,0.85321,0.70484,0.78983,0.56511,1.07439,1.12883,1.39212,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
47,2611.45,0.89513,1.24878,1.20436,0.85132,0.72122,0.7952,0.5716,1.06444,1.10737,1.38797,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
48,2663.62,0.89218,1.24402,1.20169,0.85192,0.72568,0.79337,0.56859,1.07053,1.10793,1.39353,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
49,2714.73,0.88627,1.22508,1.19754,0.83326,0.73565,0.79615,0.57614,1.05305,1.10027,1.37751,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
50,2767.27,0.87365,1.21795,1.18772,0.82192,0.74304,0.79535,0.57508,1.05612,1.09797,1.38242,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
